,板块名称,动量分值,动量排名,排名变化
0,计算机应用,3.75,1,0.0
1,通信设备,2.31,2,5.0
2,汽车零部件,1.9,3,0.0
3,饮料制造,1.72,4,0.0
4,中药,1.61,5,8.0
5,汽车整车,1.5,6,11.0
6,专用设备,1.3,7,-2.0
7,传媒,1.19,8,-6.0
8,钢铁,1.09,9,-3.0
9,小家电,1.09,10,6.0
10,食品加工制造,1.01,11,8.0
11,自动化设备,1.0,12,-4.0
12,仪器仪表,1.0,13,2.0
13,半导体及元件,0.94,14,-3.0
14,计算机设备,0.77,15,-5.0
15,电力设备,0.68,16,-4.0
16,化学制品,0.67,17,9.0
17,小金属,0.62,18,-9.0
18,家用轻工,0.61,19,14.0
19,工业金属,0.57,20,-6.0
20,农业服务,0.56,21,-1.0
21,医疗器械,0.53,22,13.0
22,煤炭开采加工,0.47,23,-1.0
23,互联网电商,0.47,24,-3.0
24,化学原料,0.45,25,-7.0
25,通信服务,0.44,26,-3.0
26,厨卫电器,0.44,27,17.0
27,金属新材料,0.38,28,29.0
28,国防军工,0.38,29,3.0
29,光学光电子,0.35,30,-3.0
30,化工合成材料,0.34,31,-3.0
31,建筑材料,0.33,32,-3.0
32,电子化学品,0.3,33,-3.0
33,汽车服务,0.29,34,-3.0
34,消费电子,0.27,35,-10.0
35,白色家电,0.25,36,9.0
36,其他电子,0.24,37,22.0
37,通用设备,0.22,38,-14.0
38,环保,0.18,39,-2.0
39,化学制药,0.16,40,18.0
40,石油加工贸易,0.15,41,-3.0
41,服装家纺,0.14,42,11.0
42,其他社会服务,0.13,43,17.0
43,纺织制造,0.12,44,-2.0
44,房地产服务,0.12,45,-4.0
45,建筑装饰,0.1,46,-12.0
46,保险及其他,0.1,47,-1.0
47,黑色家电,0.09,48,1.0
48,非汽车交运,0.09,49,1.0
49,贵金属,0.09,50,-2.0
50,包装印刷,0.09,51,-15.0
51,生物制品,0.08,52,-1.0
52,零售,0.06,53,11.0
53,教育,0.05,54,0.0
54,美容护理,0.04,55,-16.0
55,种植业与林业,0.04,56,0.0
56,电力,0.04,57,-10.0
57,养殖业,0.04,58,-3.0
58,港口航运,0.03,59,-19.0
59,医药商业,0.03,60,1.0
60,银行,0.02,61,1.0
61,物流,0.02,62,0.0
62,医疗服务,0.02,63,0.0
63,房地产开发,0.01,64,0.0
